,DateTime,Players
239,2022-10-21 00:00:00,31471
240,2022-10-22 00:00:00,38307
241,2022-10-23 00:00:00,39319
242,2022-10-24 00:00:00,29193
243,2022-10-25 00:00:00,28742
244,2022-10-26 00:00:00,28001
245,2022-10-27 00:00:00,27499
246,2022-10-28 00:00:00,29657
247,2022-10-29 00:00:00,34934
248,2022-10-30 00:00:00,34954
249,2022-10-31 00:00:00,28209
250,2022-11-01 00:00:00,29025
251,2022-11-02 00:00:00,25710
252,2022-11-03 00:00:00,25692
253,2022-11-04 00:00:00,28158
254,2022-11-05 00:00:00,35662
255,2022-11-06 00:00:00,36004
256,2022-11-07 00:00:00,25244
257,2022-11-08 00:00:00,25385
258,2022-11-09 00:00:00,25467
259,2022-11-10 00:00:00,25160
260,2022-11-11 00:00:00,29688
261,2022-11-12 00:00:00,35679
262,2022-11-13 00:00:00,35817
263,2022-11-14 00:00:00,26412
264,2022-11-15 00:00:00,27174
265,2022-11-16 00:00:00,26755
266,2022-11-17 00:00:00,25982
267,2022-11-18 00:00:00,27963
268,2022-11-19 00:00:00,34946
269,2022-11-20 00:00:00,35579
270,2022-11-21 00:00:00,26101
271,2022-11-22 00:00:00,26744
272,2022-11-23 00:00:00,26242
273,2022-11-24 00:00:00,27238
274,2022-11-25 00:00:00,29925
275,2022-11-26 00:00:00,35682
276,2022-11-27 00:00:00,36345
277,2022-11-28 00:00:00,27038
278,2022-11-29 00:00:00,26537
279,2022-11-30 00:00:00,26979
280,2022-12-01 00:00:00,26701
281,2022-12-02 00:00:00,29223
282,2022-12-03 00:00:00,36322
283,2022-12-04 00:00:00,36774
284,2022-12-05 00:00:00,27747
285,2022-12-06 00:00:00,32942
286,2022-12-07 00:00:00,32676
287,2022-12-08 00:00:00,33179
288,2022-12-09 00:00:00,37725
289,2022-12-10 00:00:00,46193
290,2022-12-11 00:00:00,47045
291,2022-12-12 00:00:00,37142
292,2022-12-13 00:00:00,36105
293,2022-12-14 00:00:00,36199
294,2022-12-15 00:00:00,35084
295,2022-12-16 00:00:00,38188
296,2022-12-17 00:00:00,45094
297,2022-12-18 00:00:00,46097
298,2022-12-19 00:00:00,38366
299,2022-12-20 00:00:00,38488
300,2022-12-21 00:00:00,38060
301,2022-12-22 00:00:00,42476
302,2022-12-23 00:00:00,53175
303,2022-12-24 00:00:00,62290
304,2022-12-25 00:00:00,64159
305,2022-12-26 00:00:00,71354
306,2022-12-27 00:00:00,73312
307,2022-12-28 00:00:00,76364
308,2022-12-29 00:00:00,79202
309,2022-12-30 00:00:00,82864
310,2022-12-31 00:00:00,85651
311,2023-01-01 00:00:00,89723
312,2023-01-02 00:00:00,91801
313,2023-01-03 00:00:00,86631
314,2023-01-04 00:00:00,88742
315,2023-01-05 00:00:00,88151
316,2023-01-06 00:00:00,93457
317,2023-01-07 00:00:00,104312
318,2023-01-08 00:00:00,106913
319,2023-01-09 00:00:00,81045
320,2023-01-10 00:00:00,79276
