,DateTime,Players,Average Players
435,2022-08-20 00:00:00,228162.0,
436,2022-08-21 00:00:00,248196.0,
437,2022-08-22 00:00:00,240933.0,
438,2022-08-23 00:00:00,227548.0,
439,2022-08-24 00:00:00,187040.0,
440,2022-08-25 00:00:00,224258.0,
441,2022-08-26 00:00:00,238427.0,
442,2022-08-27 00:00:00,252565.0,
443,2022-08-28 00:00:00,264904.0,
444,2022-08-29 00:00:00,245050.0,
445,2022-08-30 00:00:00,216840.0,
446,2022-08-31 00:00:00,209736.0,
447,2022-09-01 00:00:00,130010.0,
448,2022-09-02 00:00:00,110209.0,
449,2022-09-03 00:00:00,125197.0,
450,2022-09-04 00:00:00,173803.0,
451,2022-09-05 00:00:00,179091.0,
452,2022-09-06 00:00:00,172439.0,
453,2022-09-07 00:00:00,147981.0,
454,2022-09-08 00:00:00,118215.0,
455,2022-09-09 00:00:00,183977.0,
456,2022-09-10 00:00:00,197303.0,
457,2022-09-11 00:00:00,212778.0,
458,2022-09-12 00:00:00,205722.0,
459,2022-09-13 00:00:00,203029.0,
460,2022-09-14 00:00:00,194204.0,
461,2022-09-15 00:00:00,223872.0,
462,2022-09-16 00:00:00,202612.0,
463,2022-09-17 00:00:00,217579.0,
464,2022-09-18 00:00:00,232767.0,
465,2022-09-19 00:00:00,218970.0,
466,2022-09-20 00:00:00,211398.0,
467,2022-09-21 00:00:00,175455.0,
468,2022-09-22 00:00:00,203625.0,
469,2022-09-23 00:00:00,145424.0,118061.0
470,2022-09-24 00:00:00,195236.0,158880.0
471,2022-09-25 00:00:00,214237.0,187963.0
472,2022-09-26 00:00:00,204425.0,180142.0
473,2022-09-27 00:00:00,188514.0,167824.0
474,2022-09-28 00:00:00,152300.0,71741.0
475,2022-09-29 00:00:00,226988.0,157516.0
476,2022-09-30 00:00:00,195928.0,170264.0
477,2022-10-01 00:00:00,200582.0,166289.0
478,2022-10-02 00:00:00,206716.0,179645.0
479,2022-10-03 00:00:00,192136.0,157239.0
480,2022-10-04 00:00:00,191390.0,168223.0
481,2022-10-05 00:00:00,162495.0,107370.0
482,2022-10-06 00:00:00,153099.0,117985.0
483,2022-10-07 00:00:00,147027.0,110296.0
484,2022-10-08 00:00:00,167405.0,141767.0
485,2022-10-09 00:00:00,176212.0,149668.0
486,2022-10-10 00:00:00,171515.0,149301.0
487,2022-10-11 00:00:00,162212.0,143563.0
488,2022-10-12 00:00:00,135049.0,82029.0
489,2022-10-13 00:00:00,165358.0,121708.0
490,2022-10-14 00:00:00,179823.0,154844.0
491,2022-10-15 00:00:00,196018.0,170930.0
492,2022-10-16 00:00:00,207013.0,178829.0
493,2022-10-17 00:00:00,201648.0,176760.0
494,2022-10-18 00:00:00,198287.0,171623.0
495,2022-10-19 00:00:00,146699.0,103115.0
496,2022-10-20 00:00:00,181440.0,142291.0
497,2022-10-21 00:00:00,157168.0,136569.0
498,2022-10-22 00:00:00,195348.0,162327.0
499,2022-10-23 00:00:00,214493.0,184459.0
500,2022-10-24 00:00:00,214585.0,189749.0
501,2022-10-25 00:00:00,214549.0,191661.0
502,2022-10-26 00:00:00,186615.0,105054.0
503,2022-10-27 00:00:00,227894.0,175847.0
504,2022-10-28 00:00:00,211908.0,161711.0
505,2022-10-29 00:00:00,234844.0,210554.0
506,2022-10-30 00:00:00,258778.0,226074.0
507,2022-10-31 00:00:00,235069.0,208767.0
508,2022-11-01 00:00:00,228687.0,198282.0
509,2022-11-02 00:00:00,191313.0,106768.0
510,2022-11-03 00:00:00,230379.0,155767.0
511,2022-11-04 00:00:00,236068.0,195260.0
512,2022-11-05 00:00:00,260886.0,227778.0
513,2022-11-06 00:00:00,279228.0,237183.0
514,2022-11-07 00:00:00,276176.0,250308.0
515,2022-11-08 00:00:00,271388.0,243341.0
516,2022-11-09 00:00:00,203868.0,111095.0
517,2022-11-10 00:00:00,228097.0,177223.0
518,2022-11-11 00:00:00,243494.0,214407.0
519,2022-11-12 00:00:00,260104.0,231334.0
520,2022-11-13 00:00:00,276579.0,246204.0
521,2022-11-14 00:00:00,251788.0,170902.0
522,2022-11-15 00:00:00,239998.0,202889.0
523,2022-11-16 00:00:00,178629.0,93533.0
524,2022-11-17 00:00:00,122044.0,79573.0
525,2022-11-18 00:00:00,172597.0,120329.0
526,2022-11-19 00:00:00,211064.0,178294.0
527,2022-11-20 00:00:00,232299.0,199641.0
528,2022-11-21 00:00:00,226833.0,207164.0
529,2022-11-22 00:00:00,229035.0,204049.0
530,2022-11-23 00:00:00,200148.0,124265.0
531,2022-11-24 00:00:00,248269.0,192207.0
532,2022-11-25 00:00:00,264710.0,228939.0
533,2022-11-26 00:00:00,275134.0,245627.0
534,2022-11-27 00:00:00,281950.0,259334.0
535,2022-11-28 00:00:00,277421.0,252266.0
536,2022-11-29 00:00:00,262338.0,221803.0
537,2022-11-30 00:00:00,221489.0,130562.0
538,2022-12-01 00:00:00,285894.0,200431.0
539,2022-12-02 00:00:00,298719.0,256079.0
540,2022-12-03 00:00:00,304125.0,265456.0
541,2022-12-04 00:00:00,322787.0,289888.0
542,2022-12-05 00:00:00,305982.0,273430.0
543,2022-12-06 00:00:00,290010.0,251356.0
544,2022-12-07 00:00:00,253015.0,171454.0
545,2022-12-08 00:00:00,317013.0,274326.0
546,2022-12-09 00:00:00,308345.0,269408.0
547,2022-12-10 00:00:00,305759.0,287006.0
548,2022-12-11 00:00:00,322463.0,299099.0
549,2022-12-12 00:00:00,320131.0,296248.0
550,2022-12-13 00:00:00,299029.0,279775.0
551,2022-12-14 00:00:00,244244.0,136798.0
552,2022-12-15 00:00:00,308365.0,217847.0
553,2022-12-16 00:00:00,315151.0,261563.0
554,2022-12-17 00:00:00,327346.0,283582.0
555,2022-12-18 00:00:00,341308.0,313368.0
556,2022-12-19 00:00:00,330461.0,300409.0
557,2022-12-20 00:00:00,322547.0,293545.0
558,2022-12-21 00:00:00,279277.0,158657.0
559,2022-12-22 00:00:00,335629.0,266453.0
560,2022-12-23 00:00:00,348047.0,318619.0
561,2022-12-24 00:00:00,345451.0,327582.0
562,2022-12-25 00:00:00,347556.0,325954.0
563,2022-12-26 00:00:00,334034.0,303886.0
564,2022-12-27 00:00:00,314814.0,288506.0
565,2022-12-28 00:00:00,281282.0,207311.0
566,2022-12-29 00:00:00,336994.0,299252.0
567,2022-12-30 00:00:00,341949.0,311883.0
568,2022-12-31 00:00:00,331457.0,311470.0
569,2023-01-01 00:00:00,331516.0,302875.0
570,2023-01-02 00:00:00,322974.0,294704.0
571,2023-01-03 00:00:00,301687.0,284171.0
572,2023-01-04 00:00:00,286256.0,210850.0
573,2023-01-05 00:00:00,328749.0,294653.0
574,2023-01-06 00:00:00,328489.0,297112.0
575,2023-01-07 00:00:00,334099.0,306757.0
576,2023-01-08 00:00:00,332977.0,311539.0
577,2023-01-09 00:00:00,323766.0,298295.0
578,2023-01-10 00:00:00,269398.0,106631.0
